Category	Key	Round 1 Wins	Round 1 Losses	Round 1 Sum	Round 2 Wins	Round 2 Losses	Round 2 Sum	Round 3 Wins	Round 3 Losses	Round 3 Sum
Printings Artists	Dom!	1	3	173.27	1	0	80.83	1	0	88.77
Printings Artists	Aaron Boyd	1	4	136.67	1	0	62.25	0	1	33.29
Printings Artists	Doug Keith	3	1	277.35	2	1	162.52	0	2	66.33
Printings Artists	Shelly Wan	10	8	1024.30	6	4	497.75	4	2	377.65
Printings Artists	Khang Le	1	3	196.93	1	0	53.98	0	1	43.42
Printings Artists	Marc Fishman	4	9	423.37	2	2	202.28	1	1	79.98
Printings Artists	Dermot Power	11	11	1029.28	7	4	639.16	6	1	459.12
Printings Artists	Matt Cavotta &amp; Richard Whitters	0	1	40.92	0	0	0.00	0	0	0.00
Printings Artists	Ku Xueming	1	1	99.78	1	0	66.33	1	0	82.35
Printings Artists	Paolo Parente	57	95	6654.33	27	30	2688.26	9	18	1118.58
Printings Artists	Diana Vick	0	1	11.00	0	0	0.00	0	0	0.00
Printings Artists	Thomas M. Baxa	47	62	5122.04	21	26	2253.80	7	14	916.95
Printings Artists	Min Yum	28	19	2643.00	15	13	1610.33	10	5	859.61
Printings Artists	Tony Szczudlo	32	40	3356.09	16	16	1599.15	9	7	868.10
Printings Artists	Justin Sweet	33	32	3158.14	18	15	1727.57	7	11	818.98
Printings Artists	Zoltan Boros	40	27	3867.46	25	15	2282.35	16	9	1264.54
Printings Artists	Li Yousong	2	2	170.88	0	2	61.58	0	0	0.00
Printings Artists	Jeff Reitz	0	1	49.77	0	0	0.00	0	0	0.00
Printings Artists	Scott Hampton	8	10	903.36	5	3	415.98	2	3	207.72
Printings Artists	Greg Hildebrandt	36	33	3436.20	15	21	1792.34	9	6	863.97
Printings Artists	Rebecca “Don't Mess with Me” Guay	1	0	65.47	0	1	39.67	0	0	0.00
Printings Artists	D. Alexander Gregory & Jeremy Jarvis	1	0	93.71	1	0	91.25	1	0	69.33
Printings Artists	Patrick Faricy	1	2	122.93	1	0	83.62	1	0	80.74
